ID;Data;Time;Adversário;Posse %;xG;Grandes Chances;Finalizações;Defesas Goleiro;Sprints;Escanteios;Faltas;Passes;Desarmes;Tiros Livres;Cartões
1;21/09/2024;Corinthians;Atlético-GO;61;2.70;4;17;3;149;6;7;571;24;16;3
1;21/09/2024;Atlético-GO;Corinthians;39;0.68;0;14;3;129;1;17;378;16;7;4
2;24/09/2024;Corinthians;Fortaleza;48;;4;11;4;137;3;12;356;12;12;1
2;24/09/2024;Fortaleza;Corinthians;52;;1;12;2;105;4;12;384;13;11;4
3;29/09/2024;São Paulo;Corinthians;53;2.97;5;19;2;131;7;18;379;15;17;6
3;29/09/2024;Corinthians;São Paulo;47;0.84;0;11;5;119;2;17;339;10;18;8
4;02/10/2024;Flamengo;Corinthians;56;;5;19;1;;6;13;489;17;19;4
4;02/10/2024;Corinthians;Flamengo;44;;1;10;6;;4;20;379;16;13;7
5;05/10/2024;Corinthians;Internacional;54;1.96;5;15;0;166;9;11;431;17;12;6
5;05/10/2024;Internacional;Corinthians;46;0.59;1;9;4;177;9;14;368;19;11;4
6;17/10/2024;Corinthians;Athletico-PR;61;1.90;2;14;4;143;3;9;565;24;7;4
6;17/10/2024;Athletico-PR;Corinthians;39;1.56;2;22;4;135;8;7;343;18;6;3
7;20/10/2024;Corinthians;Flamengo;60;;;14;0;;7;19;443;21;10;0
7;20/10/2024;Flamengo;Corinthians;40;;;5;6;;5;10;304;16;19;1
8;24/10/2024;Corinthians;Racing;59;;3;13;2;;2;8;434;17;15;1
8;24/10/2024;Racing;Corinthians;41;;1;8;2;;4;15;299;16;8;3
9;28/10/2024;Cuiabá;Corinthians;56;0.33;0;13;0;124;5;14;443;14;14;5
9;28/10/2024;Corinthians;Cuiabá;44;1.26;2;9;5;125;2;16;351;21;13;2
10;31/10/2024;Racing;Corinthians;43;;3;7;1;140;2;17;297;22;11;2
10;31/10/2024;Corinthians;Racing;57;;1;5;2;113;3;11;407;16;17;3
